imageID,imageAngle,Hough,projProf
1,-50,-5.000001,-5.000000
1,-49,-5.000001,-5.000000
1,-48,-5.000001,-5.000000
1,-47,-5.000001,-5.000000
1,-46,-5.000001,-5.000000
1,-45,-5.000001,-5.000000
1,-44,-4.000000,-4.000000
1,-43,-4.000000,-4.000000
1,-42,-4.000000,-4.000000
1,-41,-4.000000,-4.000000
1,-40,-4.000000,-4.000000
1,-39,-4.000000,-4.000000
1,-38,-4.000000,-4.000000
1,-37,-4.000000,-4.000000
1,-36,-4.000000,-4.000000
1,-35,-4.000000,-3.000000
1,-34,-2.999999,-3.000000
1,-33,-2.999999,-3.000000
1,-32,-2.999999,-3.000000
1,-31,-2.999999,-3.000000
1,-30,-2.999999,-3.000000
1,-29,-2.999999,-3.000000
1,-28,-2.999999,-3.000000
1,-27,-2.999999,-3.000000
1,-26,-2.999999,-3.000000
1,-25,-1.999998,-2.000000
1,-24,-1.999998,-2.000000
1,-23,-1.999998,-2.000000
1,-22,-1.999998,-2.000000
1,-21,-1.999998,-2.000000
1,-20,-1.999998,-2.000000
1,-19,-1.999998,-2.000000
1,-18,-1.999998,-2.000000
1,-17,-1.999998,-2.000000
1,-16,-1.999998,-2.000000
1,-15,-1.999998,-1.000000
1,-14,-0.999997,-1.000000
1,-13,-0.999997,-1.000000
1,-12,-0.999997,-1.000000
1,-11,-0.999997,-1.000000
1,-10,-0.999997,-1.000000
1,-9,0.999999,1.000000
1,-8,0.999999,1.000000
1,-7,0.999999,1.000000
1,-6,0.999999,-0.000000
1,-5,-0.000003,1.000000
1,-4,-0.000003,-0.000000
1,-3,-0.000003,1.000000
1,-2,-0.000003,-0.000000
1,-1,-0.000003,-0.000000
1,0,-0.000003,-0.000000
1,1,-0.000003,-0.000000
1,2,-0.000003,-0.000000
1,3,-0.000003,1.000000
1,4,-0.000003,-0.000000
1,5,-0.000003,1.000000
1,6,0.999999,-0.000000
1,7,0.999999,1.000000
1,8,0.999999,1.000000
1,9,0.999999,1.000000
1,10,0.999999,1.000000
1,11,0.999999,1.000000
1,12,0.999999,1.000000
1,13,0.999999,1.000000
1,14,0.999999,1.000000
1,15,2.000000,1.000000
1,16,2.000000,2.000000
1,17,2.000000,2.000000
1,18,2.000000,2.000000
1,19,2.000000,2.000000
1,20,2.000000,2.000000
1,21,2.000000,2.000000
1,22,2.000000,2.000000
1,23,2.000000,2.000000
1,24,2.000000,2.000000
1,25,2.000000,2.000000
1,26,3.000001,3.000000
1,27,3.000001,3.000000
1,28,3.000001,3.000000
1,29,3.000001,3.000000
1,30,3.000001,3.000000
1,31,3.000001,3.000000
1,32,3.000001,3.000000
1,33,3.000001,3.000000
1,34,3.000001,3.000000
1,35,4.000002,3.000000
1,36,4.000002,4.000000
1,37,4.000002,4.000000
1,38,4.000002,4.000000
1,39,4.000002,4.000000
1,40,4.000002,4.000000
1,41,4.000002,4.000000
1,42,4.000002,4.000000
1,43,4.000002,4.000000
1,44,4.000002,4.000000
1,45,4.000002,4.000000
1,46,5.000003,5.000000
1,47,5.000003,5.000000
1,48,5.000003,5.000000
1,49,5.000003,5.000000
1,50,5.000003,5.000000
2,-50,-5.000001,-5.000000
2,-49,-5.000001,-5.000000
2,-48,-5.000001,-5.000000
2,-47,-5.000001,-5.000000
2,-46,-5.000001,-5.000000
2,-45,-4.000000,-5.000000
2,-44,-4.000000,-4.000000
2,-43,-4.000000,-4.000000
2,-42,-4.000000,-4.000000
2,-41,-4.000000,-4.000000
2,-40,-4.000000,-4.000000
2,-39,-4.000000,-4.000000
2,-38,-4.000000,-4.000000
2,-37,-4.000000,-4.000000
2,-36,-4.000000,-4.000000
2,-35,-2.999999,-4.000000
2,-34,-2.999999,-3.000000
2,-33,-2.999999,-3.000000
2,-32,-2.999999,-3.000000
2,-31,-2.999999,-3.000000
2,-30,-2.999999,-3.000000
2,-29,-2.999999,-3.000000
2,-28,-2.999999,-3.000000
2,-27,-2.999999,-3.000000
2,-26,-2.999999,-3.000000
2,-25,-2.999999,-2.000000
2,-24,-1.999998,-2.000000
2,-23,-1.999998,-2.000000
2,-22,-1.999998,-2.000000
2,-21,-1.999998,-2.000000
2,-20,-1.999998,-2.000000
2,-19,-1.999998,-2.000000
2,-18,-1.999998,-2.000000
2,-17,-1.999998,-2.000000
2,-16,-1.999998,-2.000000
2,-15,-1.999998,-1.000000
2,-14,-0.999997,-1.000000
2,-13,-0.999997,-1.000000
2,-12,-0.999997,-1.000000
2,-11,-0.999997,-1.000000
2,-10,-0.999997,-1.000000
2,-9,0.999999,1.000000
2,-8,0.999999,1.000000
2,-7,0.999999,1.000000
2,-6,0.999999,1.000000
2,-5,-0.000003,-0.000000
2,-4,-0.000003,-0.000000
2,-3,-0.000003,1.000000
2,-2,-0.000003,1.000000
2,-1,-0.000003,-0.000000
2,0,-0.000003,-0.000000
2,1,-0.000003,-0.000000
2,2,-0.000003,1.000000
2,3,-0.000003,1.000000
2,4,-0.000003,-0.000000
2,5,-0.000003,-0.000000
2,6,0.999999,1.000000
2,7,0.999999,1.000000
2,8,0.999999,1.000000
2,9,0.999999,1.000000
2,10,0.999999,1.000000
2,11,0.999999,1.000000
2,12,0.999999,1.000000
2,13,0.999999,1.000000
2,14,0.999999,1.000000
2,15,0.999999,1.000000
2,16,2.000000,2.000000
2,17,2.000000,2.000000
2,18,2.000000,2.000000
2,19,2.000000,2.000000
2,20,2.000000,2.000000
2,21,2.000000,2.000000
2,22,2.000000,2.000000
2,23,2.000000,2.000000
2,24,2.000000,2.000000
2,25,2.000000,2.000000
2,26,3.000001,3.000000
2,27,3.000001,3.000000
2,28,3.000001,3.000000
2,29,3.000001,3.000000
2,30,3.000001,3.000000
2,31,3.000001,3.000000
2,32,3.000001,3.000000
2,33,3.000001,3.000000
2,34,3.000001,3.000000
2,35,4.000002,3.000000
2,36,4.000002,4.000000
2,37,4.000002,4.000000
2,38,4.000002,4.000000
2,39,4.000002,4.000000
2,40,4.000002,4.000000
2,41,4.000002,4.000000
2,42,4.000002,4.000000
2,43,4.000002,4.000000
2,44,4.000002,4.000000
2,45,4.000002,4.000000
2,46,5.000003,5.000000
2,47,5.000003,5.000000
2,48,5.000003,5.000000
2,49,5.000003,5.000000
2,50,5.000003,5.000000
3,-50,-5.000001,-5.000000
3,-49,-5.000001,-5.000000
3,-48,-5.000001,-5.000000
3,-47,-5.000001,-5.000000
3,-46,-5.000001,-5.000000
3,-45,-5.000001,-4.000000
3,-44,-4.000000,-4.000000
3,-43,-4.000000,-4.000000
3,-42,-4.000000,-4.000000
3,-41,-4.000000,-4.000000
3,-40,-4.000000,-4.000000
3,-39,-4.000000,-4.000000
3,-38,-4.000000,-4.000000
3,-37,-4.000000,-4.000000
3,-36,-4.000000,-4.000000
3,-35,-4.000000,-3.000000
3,-34,-2.999999,-3.000000
3,-33,-2.999999,-3.000000
3,-32,-2.999999,-3.000000
3,-31,-2.999999,-3.000000
3,-30,-2.999999,-3.000000
3,-29,-2.999999,-3.000000
3,-28,-2.999999,-3.000000
3,-27,-2.999999,-3.000000
3,-26,-2.999999,-3.000000
3,-25,-2.999999,-2.000000
3,-24,-1.999998,-2.000000
3,-23,-1.999998,-2.000000
3,-22,-1.999998,-2.000000
3,-21,-1.999998,-2.000000
3,-20,-1.999998,-2.000000
3,-19,-1.999998,-2.000000
3,-18,-1.999998,-2.000000
3,-17,-1.999998,-2.000000
3,-16,-1.999998,-2.000000
3,-15,-0.999997,-1.000000
3,-14,-0.999997,-1.000000
3,-13,-0.999997,-1.000000
3,-12,-0.999997,-1.000000
3,-11,-0.999997,-1.000000
3,-10,-0.999997,-1.000000
3,-9,0.999999,1.000000
3,-8,0.999999,1.000000
3,-7,0.999999,1.000000
3,-6,0.999999,1.000000
3,-5,-0.000003,1.000000
3,-4,-0.000003,-0.000000
3,-3,-0.000003,-0.000000
3,-2,-0.000003,1.000000
3,-1,-0.000003,-0.000000
3,0,-0.000003,-0.000000
3,1,-0.000003,-0.000000
3,2,-0.000003,1.000000
3,3,-0.000003,-0.000000
3,4,-0.000003,-0.000000
3,5,-0.000003,1.000000
3,6,0.999999,1.000000
3,7,0.999999,1.000000
3,8,0.999999,1.000000
3,9,0.999999,1.000000
3,10,0.999999,1.000000
3,11,0.999999,1.000000
3,12,0.999999,1.000000
3,13,0.999999,1.000000
3,14,0.999999,1.000000
3,15,0.999999,2.000000
3,16,2.000000,2.000000
3,17,2.000000,2.000000
3,18,2.000000,2.000000
3,19,2.000000,2.000000
3,20,2.000000,2.000000
3,21,2.000000,2.000000
3,22,2.000000,2.000000
3,23,2.000000,2.000000
3,24,2.000000,2.000000
3,25,2.000000,3.000000
3,26,3.000001,3.000000
3,27,3.000001,3.000000
3,28,3.000001,3.000000
3,29,3.000001,3.000000
3,30,3.000001,3.000000
3,31,3.000001,3.000000
3,32,3.000001,3.000000
3,33,3.000001,3.000000
3,34,3.000001,3.000000
3,35,3.000001,4.000000
3,36,4.000002,4.000000
3,37,4.000002,4.000000
3,38,4.000002,4.000000
3,39,4.000002,4.000000
3,40,4.000002,4.000000
3,41,4.000002,4.000000
3,42,4.000002,4.000000
3,43,4.000002,4.000000
3,44,4.000002,4.000000
3,45,4.000002,5.000000
3,46,5.000003,5.000000
3,47,5.000003,5.000000
3,48,5.000003,5.000000
3,49,5.000003,5.000000
3,50,5.000003,5.000000
time : 343.441
