imageNr,imageAngle,thetaHough,confidenceHough,thetaFourier,confidenceFourier,thetaProj,confidenceProj,
1,5.000000,4.999998,1.000000,5.000000,0.999686,5.000000,0.985755,
1,4.900000,4.999998,1.000000,5.000000,0.999381,5.000000,0.984684,
1,4.800000,4.999998,1.000000,5.000000,0.999096,5.000000,0.974734,
1,4.700000,4.999998,0.999246,5.000000,0.999717,5.000000,0.971591,
1,4.600000,4.999998,0.998376,5.000000,0.999456,5.000000,0.964100,
1,4.500000,4.999998,0.997959,5.000000,0.999414,5.000000,0.963919,
1,4.400000,4.000004,0.997313,4.000008,0.998835,4.000000,0.967566,
1,4.300000,4.000004,0.999213,4.000008,0.998117,4.000000,0.973216,
1,4.200000,4.000004,1.000000,4.000008,0.997614,4.000000,0.976564,
1,4.100000,4.000004,1.000000,4.000008,0.989827,4.000000,0.980887,
1,4.000000,4.000004,1.000000,4.000008,0.988798,4.000000,0.981453,
1,3.900000,4.000004,1.000000,4.000008,0.987519,4.000000,0.983379,
1,3.800000,4.000004,1.000000,4.000008,0.995933,4.000000,0.974226,
1,3.700000,4.000004,0.999502,4.000008,0.998612,4.000000,0.972393,
1,3.600000,4.000004,0.998229,3.000000,0.999469,4.000000,0.968442,
1,3.500000,4.000004,0.997983,3.000000,0.999440,3.000000,0.965660,
1,3.400000,3.000001,0.997783,3.000000,0.999424,3.000000,0.972018,
1,3.300000,3.000001,0.999238,4.000008,0.995400,3.000000,0.969605,
1,3.200000,3.000001,1.000000,4.000008,0.994240,3.000000,0.979741,
1,3.100000,3.000001,1.000000,3.000000,0.997975,3.000000,0.980816,
1,3.000000,3.000001,1.000000,3.000000,0.999139,3.000000,0.981212,
1,2.900000,3.000001,1.000000,3.000000,0.998379,3.000000,0.982243,
1,2.800000,3.000001,1.000000,3.000000,0.998109,3.000000,0.974152,
1,2.700000,3.000001,0.999236,3.000000,0.998916,3.000000,0.973498,
1,2.600000,3.000001,0.998288,3.000000,0.997696,3.000000,0.971942,
1,2.500000,3.000001,0.998008,3.000000,0.996777,2.000000,0.971769,
1,2.400000,1.999999,0.997942,2.000000,0.995797,2.000000,0.972176,
1,2.300000,1.999999,0.999235,2.000000,0.993148,2.000000,0.975087,
1,2.200000,1.999999,1.000000,2.000000,0.999275,2.000000,0.981798,
1,2.100000,1.999999,1.000000,2.000000,0.999115,2.000000,0.980510,
1,2.000000,1.999999,1.000000,2.000000,0.999479,2.000000,0.981480,
