imageAngle,thetaHough,Eroare,0.000502528
-10,-10.100001,0.100001,
-9.9,-9.799999,0.100001,
-9.8,-9.799999,1E-06,
-9.7,-9.699998,2E-06,
-9.6,-9.599998,2E-06,
-9.5,-9.400002,0.099998,
-9.4,-9.400002,2E-06,
-9.3,-9.300002,2E-06,
-9.2,-9.200001,1E-06,
-9.1,-9.1,0,
-9,-8.899999,0.100001,
-8.9,-8.899999,1E-06,
-8.8,-8.799997,3E-06,
-8.7,-8.699997,3E-06,
-8.6,-8.599997,3E-06,
-8.5,-8.400002,0.099998,
-8.4,-8.400002,2E-06,
-8.3,-8.3,0,
-8.2,-8.2,0,
-8.1,-8.2,0.1,
-8,-7.999998,2E-06,
-7.9,-7.899997,3E-06,
-7.8,-7.799996,4E-06,
-7.7,-7.700003,3E-06,
-7.6,-7.700003,0.100003,
-7.5,-7.500001,1E-06,
-7.4,-7.4,0,
-7.3,-7.299999,1E-06,
-7.2,-7.299999,0.099999,
-7.1,-7.199998,0.099998,
-7,-6.999997,3E-06,
-6.9,-6.899996,4E-06,
-6.8,-6.899996,0.099996,
-6.7,-6.600001,0.099999,
-6.6,-6.600001,1E-06,
-6.5,-6.5,0,
-6.4,-6.5,0.1,
-6.3,-6.199997,0.100003,
-6.2,-6.199997,3E-06,
-6.1,-6.099997,3E-06,
-6,-6.000003,3E-06,
-5.9,-5.800001,0.099999,
-5.8,-5.7,0.1,
-5.7,-5.7,0,
-5.6,-5.599999,1E-06,
-5.5,-5.399998,0.100002,
-5.4,-5.399998,2E-06,
-5.3,-5.299997,3E-06,
-5.2,-5.299997,0.099997,
-5.1,-5.000001,0.099999,
-5,-5.000001,1E-06,
-4.9,-4.900001,1E-06,
-4.8,-4.8,0,
-4.7,-4.599998,0.100002,
-4.6,-4.599998,2E-06,
-4.5,-4.499998,2E-06,
-4.4,-4.299996,0.100004,
-4.3,-4.299996,4E-06,
-4.2,-4.200002,2E-06,
-4.1,-4.100001,1E-06,
-4,-3.9,0.1,
-3.9,-3.9,0,
-3.8,-3.799999,1E-06,
-3.7,-3.599997,0.100003,
-3.6,-3.599997,3E-06,
-3.5,-3.499996,4E-06,
-3.4,-3.400002,2E-06,
-3.3,-3.200001,0.099999,
-3.2,-3.200001,1E-06,
-3.1,-3.1,0,
-3,-2.899998,0.100002,
-2.9,-2.899998,2E-06,
