index,angle,houghAngle,houghConfidence,projectionAngle,projectionConfidence,freqHoughAngle,freqHoughConfidence,bestFirstAngle,bestFirstConfidence,unanimousAngle,unanimousConfidence,weightedAngle,weightedConfidence
1,-5.00,-4.90,1.00,-5.00,0.61,-2.80,0.01,-4.90,1.00,-4.23,0.04,-4.92,0.91
1,-4.90,-4.90,1.00,-4.90,0.60,-2.50,0.01,-4.90,1.00,-4.10,-0.07,-4.89,0.97
1,-4.80,-4.80,1.00,-4.80,0.59,-2.40,0.01,-4.80,1.00,-4.00,-0.07,-4.79,0.96
1,-4.70,-4.70,1.00,-4.70,0.60,-2.60,0.01,-4.70,1.00,-4.00,0.07,-4.69,0.96
1,-4.60,-4.60,0.84,-4.60,0.59,-4.90,0.01,-4.60,0.84,-4.70,0.87,-4.60,0.99
1,-4.50,-4.50,0.91,-4.50,0.59,-2.90,0.01,-4.50,0.91,-3.97,0.29,-4.49,0.97
1,-4.40,-4.40,1.00,-4.40,0.59,-4.90,0.01,-4.40,1.00,-4.57,0.78,-4.40,0.99
1,-4.30,-4.30,1.00,-4.30,0.59,-2.20,0.01,-4.30,1.00,-3.60,0.07,-4.29,0.96
1,-4.20,-4.20,1.00,-4.20,0.59,-4.40,0.01,-4.20,1.00,-4.27,0.91,-4.20,1.00
1,-4.10,-4.10,0.88,-4.10,0.59,-1.90,0.01,-4.10,0.88,-3.37,0.02,-4.08,0.95
1,-4.00,-4.00,0.78,-4.00,0.59,-4.70,0.01,-4.00,0.78,-4.23,0.69,-4.01,0.98
1,-3.90,-3.90,1.00,-3.90,0.59,-1.40,0.01,-3.90,1.00,-3.07,-0.11,-3.89,0.96
1,-3.80,-3.80,1.00,-3.80,0.59,-4.40,0.01,-3.80,1.00,-4.00,0.73,-3.80,0.99
1,-3.70,-3.70,1.00,-3.70,0.58,-4.40,0.01,-3.70,1.00,-3.93,0.69,-3.70,0.99
1,-3.60,-3.60,1.00,-3.60,0.59,-4.40,0.01,-3.60,1.00,-3.87,0.64,-3.60,0.99
1,-3.50,-3.50,0.87,-3.50,0.59,-4.40,0.01,-3.50,0.87,-3.80,0.60,-3.51,0.98
1,-3.40,-3.40,0.84,-3.40,0.59,-4.10,0.01,-3.40,0.84,-3.63,0.69,-3.40,0.99
1,-3.30,-3.30,0.83,-3.30,0.58,-4.20,0.01,-3.30,0.83,-3.60,0.60,-3.31,0.98
1,-3.20,-3.20,1.00,-3.20,0.58,-4.10,0.01,-3.20,1.00,-3.50,0.60,-3.20,0.98
1,-3.10,-3.10,1.00,-3.10,0.59,-2.90,0.01,-3.10,1.00,-3.03,0.91,-3.10,1.00
1,-3.00,-3.00,1.00,-3.00,0.59,-3.10,0.00,-3.00,1.00,-3.03,0.96,-3.00,1.00
1,-2.90,-2.90,1.00,-2.90,0.59,-2.90,0.01,-2.90,1.00,-2.90,1.00,-2.90,1.00
1,-2.80,-2.80,0.87,-2.80,0.58,-3.60,0.01,-2.80,0.87,-3.07,0.64,-2.81,0.99
1,-2.70,-2.70,0.85,-2.70,0.58,-2.70,0.01,-2.70,0.85,-2.70,1.00,-2.70,1.00
1,-2.60,-2.60,0.83,-2.60,0.59,-2.70,0.01,-2.60,0.83,-2.63,0.96,-2.60,1.00
1,-2.50,-2.50,1.00,-2.50,0.58,-2.70,0.01,-2.50,1.00,-2.57,0.91,-2.50,1.00
1,-2.40,-2.40,1.00,-2.40,0.59,-3.40,0.01,-2.40,1.00,-2.73,0.56,-2.41,0.98
1,-2.30,-2.30,1.00,-2.30,0.59,-3.30,0.02,-2.30,1.00,-2.63,0.56,-2.31,0.97
1,-2.20,-2.20,1.00,-2.20,0.59,-2.20,0.01,-2.20,1.00,-2.20,1.00,-2.20,1.00
1,-2.10,-2.10,1.00,-2.10,0.59,-3.20,0.01,-2.10,1.00,-2.47,0.51,-2.11,0.98
1,-2.00,-2.00,0.87,-2.00,0.59,-2.90,0.01,-2.00,0.87,-2.30,0.60,-2.01,0.98
1,-1.90,-1.90,0.85,-1.90,0.59,-1.40,0.01,-1.90,0.85,-1.73,0.78,-1.90,0.99
1,-1.80,-1.80,0.85,-1.80,0.59,-1.90,0.01,-1.80,0.85,-1.83,0.96,-1.80,1.00
1,-1.70,-1.70,1.00,-1.70,0.59,-1.40,0.01,-1.70,1.00,-1.60,0.87,-1.70,0.99
1,-1.60,-1.60,1.00,-1.60,0.58,-2.70,0.01,-1.60,1.00,-1.97,0.51,-1.61,0.98
1,-1.50,-1.50,1.00,-1.50,0.59,0.70,0.01,-1.50,1.00,-0.77,0.02,-1.48,0.95
1,-1.40,-1.40,1.00,-1.40,0.59,-1.70,0.01,-1.40,1.00,-1.50,0.87,-1.40,0.99
