index,angle,houghAngle,houghConfidence,projectionAngle,projectionConfidence,freqHoughAngle,freqHoughConfidence
1,-10.00,-10.00,1.00,-10.00,0.86,-10.00,1.00
1,-9.75,-10.00,1.00,-10.00,0.50,-10.00,0.63
1,-9.50,-10.00,0.52,-10.00,0.32,-9.00,0.11
1,-9.25,-9.00,1.00,-9.00,0.51,-9.00,0.55
1,-9.00,-9.00,1.00,-9.00,0.84,-9.00,1.00
1,-8.75,-9.00,1.00,-9.00,0.50,-9.00,0.71
1,-8.50,-8.00,0.53,-8.00,0.32,-8.00,0.21
1,-8.25,-8.00,1.00,-8.00,0.52,-8.00,1.00
1,-8.00,-8.00,1.00,-8.00,0.84,-8.00,1.00
1,-7.75,-8.00,1.00,-8.00,0.50,-8.00,0.26
1,-7.50,-7.00,0.46,-7.00,0.33,-7.00,0.09
1,-7.25,-7.00,1.00,-7.00,0.52,-7.00,1.00
1,-7.00,-7.00,1.00,-7.00,0.86,-7.00,1.00
1,-6.75,-7.00,1.00,-7.00,0.52,-7.00,1.00
1,-6.50,-6.00,0.53,-6.00,0.33,-7.00,0.06
1,-6.25,-6.00,1.00,-6.00,0.52,-6.00,1.00
1,-6.00,-6.00,1.00,-6.00,0.89,-6.00,1.00
1,-5.75,-6.00,1.00,-6.00,0.52,-6.00,0.77
1,-5.50,-5.00,0.48,-5.00,0.34,-5.00,0.10
1,-5.25,-5.00,1.00,-5.00,0.52,-5.00,1.00
1,-5.00,-5.00,1.00,-5.00,0.89,-5.00,1.00
1,-4.75,-5.00,1.00,-5.00,0.55,-5.00,1.00
1,-4.50,-4.00,0.49,-4.00,0.35,-4.00,0.07
1,-4.25,-4.00,1.00,-4.00,0.54,-4.00,1.00
1,-4.00,-4.00,1.00,-4.00,0.94,-4.00,1.00
1,-3.75,-4.00,1.00,-4.00,0.54,-4.00,1.00
1,-3.50,-3.00,0.52,-3.00,0.36,-4.00,0.05
1,-3.25,-3.00,1.00,-3.00,0.58,-3.00,1.00
1,-3.00,-3.00,1.00,-3.00,0.95,-3.00,1.00
1,-2.75,-3.00,1.00,-3.00,0.58,-3.00,1.00
1,-2.50,-3.00,0.47,-2.00,0.36,-3.00,0.04
1,-2.25,-2.00,1.00,-2.00,0.59,-2.00,1.00
1,-2.00,-2.00,1.00,-2.00,0.98,-2.00,1.00
1,-1.75,-2.00,1.00,-2.00,0.60,-2.00,0.24
1,-1.50,-2.00,0.46,-1.00,0.38,-1.00,0.20
1,-1.25,-1.00,1.00,-1.00,0.63,-1.00,1.00
1,-1.00,-1.00,1.00,-1.00,0.91,-1.00,1.00
1,-0.75,-1.00,1.00,-1.00,0.67,-1.00,1.00
1,-0.50,0.00,0.54,-1.00,0.43,2.00,0.05
1,-0.25,0.00,1.00,-0.00,0.88,0.00,1.00
1,0.00,0.00,1.00,-0.00,0.53,0.00,1.00
1,0.25,0.00,1.00,-0.00,0.88,0.00,1.00
1,0.50,1.00,0.69,1.00,0.45,1.00,0.08
1,0.75,1.00,1.00,1.00,0.68,1.00,1.00
1,1.00,1.00,1.00,1.00,0.90,1.00,1.00
1,1.25,1.00,1.00,1.00,0.63,1.00,1.00
1,1.50,2.00,0.50,1.00,0.39,1.00,0.17
1,1.75,2.00,1.00,2.00,0.61,2.00,0.40
1,2.00,2.00,1.00,2.00,1.00,2.00,1.00
1,2.25,2.00,1.00,2.00,0.59,2.00,1.00
1,2.50,3.00,0.54,3.00,0.35,2.00,0.05
1,2.75,3.00,1.00,3.00,0.61,3.00,1.00
1,3.00,3.00,1.00,3.00,0.96,3.00,1.00
1,3.25,3.00,1.00,3.00,0.60,3.00,1.00
1,3.50,3.00,0.46,3.00,0.36,3.00,0.05
1,3.75,4.00,1.00,4.00,0.55,4.00,1.00
1,4.00,4.00,1.00,4.00,0.98,4.00,1.00
1,4.25,4.00,1.00,4.00,0.55,4.00,1.00
1,4.50,4.00,0.49,5.00,0.36,4.00,0.06
1,4.75,5.00,1.00,5.00,0.57,5.00,1.00
1,5.00,5.00,1.00,5.00,0.90,5.00,1.00
1,5.25,5.00,1.00,5.00,0.54,5.00,1.00
1,5.50,5.00,0.51,5.00,0.35,5.00,0.06
1,5.75,6.00,1.00,6.00,0.55,6.00,0.71
1,6.00,6.00,1.00,6.00,0.92,6.00,1.00
1,6.25,6.00,1.00,6.00,0.53,6.00,1.00
1,6.50,6.00,0.42,6.00,0.34,6.00,0.07
1,6.75,7.00,1.00,7.00,0.55,7.00,1.00
1,7.00,7.00,1.00,7.00,0.90,7.00,1.00
1,7.25,7.00,1.00,7.00,0.54,7.00,1.00
1,7.50,7.00,0.50,8.00,0.35,7.00,0.11
1,7.75,8.00,1.00,8.00,0.53,8.00,0.45
