index,angle,houghAngle,houghConfidence,projectionAngle,projectionConfidence,freqHoughAngle,freqHoughConfidence
1,-10.00,-10.00,1.00,-10.00,0.96,-10.00,0.04
1,-9.75,-10.00,0.58,-10.00,0.88,-10.00,0.01
1,-9.50,-10.00,0.09,-10.00,0.83,-9.00,0.01
1,-9.25,-9.00,0.48,-9.00,0.88,-9.00,0.02
1,-9.00,-9.00,1.00,-9.00,0.96,-9.00,0.03
1,-8.75,-9.00,0.52,-9.00,0.87,-9.00,0.01
1,-8.50,-8.00,0.07,-8.00,0.83,-8.00,0.01
1,-8.25,-8.00,0.52,-8.00,0.88,-8.00,0.02
1,-8.00,-8.00,1.00,-8.00,0.96,-8.00,0.03
1,-7.75,-8.00,0.46,-8.00,0.88,-8.00,0.01
1,-7.50,-7.00,0.11,-7.00,0.83,-7.00,0.01
1,-7.25,-7.00,0.50,-7.00,0.88,-7.00,0.03
1,-7.00,-7.00,1.00,-7.00,0.96,-7.00,0.04
1,-6.75,-7.00,0.59,-7.00,0.88,-7.00,0.01
1,-6.50,-6.00,0.10,-6.00,0.83,-7.00,0.01
1,-6.25,-6.00,0.53,-6.00,0.88,-6.00,0.02
1,-6.00,-6.00,1.00,-6.00,0.97,-6.00,0.02
1,-5.75,-6.00,0.40,-6.00,0.88,-6.00,0.01
1,-5.50,-5.00,0.11,-5.00,0.83,-5.00,0.01
1,-5.25,-5.00,0.50,-5.00,0.88,-5.00,0.02
1,-5.00,-5.00,1.00,-5.00,0.97,-5.00,0.05
1,-4.75,-5.00,0.45,-5.00,0.89,-5.00,0.01
1,-4.50,-4.00,0.07,-4.00,0.84,-4.00,0.01
1,-4.25,-4.00,0.47,-4.00,0.89,-4.00,0.01
1,-4.00,-4.00,1.00,-4.00,0.99,-4.00,0.03
1,-3.75,-4.00,0.54,-4.00,0.88,-4.00,0.01
1,-3.50,-3.00,0.07,-3.00,0.84,-4.00,0.01
1,-3.25,-3.00,0.47,-3.00,0.89,-3.00,0.01
1,-3.00,-3.00,1.00,-3.00,0.99,-3.00,0.03
1,-2.75,-3.00,0.53,-3.00,0.90,-3.00,0.01
1,-2.50,-3.00,0.08,-2.00,0.84,-3.00,0.01
1,-2.25,-2.00,0.49,-2.00,0.90,-2.00,0.02
1,-2.00,-2.00,1.00,-2.00,1.00,-2.00,0.03
1,-1.75,-2.00,0.52,-2.00,0.90,-2.00,0.01
1,-1.50,-2.00,0.07,-1.00,0.84,-1.00,0.01
1,-1.25,-1.00,0.50,-1.00,0.91,-1.00,0.02
1,-1.00,-1.00,1.00,-1.00,0.98,-1.00,0.02
1,-0.75,-1.00,0.52,-1.00,0.92,-1.00,0.01
1,-0.50,0.00,0.09,-1.00,0.86,2.00,0.01
1,-0.25,0.00,0.46,-0.00,0.97,0.00,0.02
1,0.00,0.00,1.00,-0.00,0.88,0.00,0.04
1,0.25,0.00,0.52,-0.00,0.97,0.00,0.01
1,0.50,1.00,0.09,1.00,0.86,1.00,0.01
1,0.75,1.00,0.48,1.00,0.92,1.00,0.01
1,1.00,1.00,1.00,1.00,0.97,1.00,0.02
1,1.25,1.00,0.49,1.00,0.91,1.00,0.02
1,1.50,2.00,0.09,1.00,0.85,1.00,0.01
1,1.75,2.00,0.50,2.00,0.90,2.00,0.01
1,2.00,2.00,1.00,2.00,1.00,2.00,0.03
1,2.25,2.00,0.48,2.00,0.90,2.00,0.02
1,2.50,3.00,0.09,3.00,0.84,2.00,0.01
1,2.75,3.00,0.45,3.00,0.90,3.00,0.01
1,3.00,3.00,1.00,3.00,0.99,3.00,0.04
1,3.25,3.00,0.54,3.00,0.90,3.00,0.01
1,3.50,3.00,0.09,3.00,0.84,3.00,0.01
1,3.75,4.00,0.41,4.00,0.89,4.00,0.02
1,4.00,4.00,1.00,4.00,0.99,4.00,0.02
1,4.25,4.00,0.58,4.00,0.89,4.00,0.01
1,4.50,4.00,0.06,5.00,0.84,4.00,0.01
1,4.75,5.00,0.45,5.00,0.89,5.00,0.01
1,5.00,5.00,1.00,5.00,0.97,5.00,0.04
1,5.25,5.00,0.51,5.00,0.89,5.00,0.01
1,5.50,5.00,0.09,5.00,0.84,5.00,0.01
1,5.75,6.00,0.48,6.00,0.89,6.00,0.01
1,6.00,6.00,1.00,6.00,0.98,6.00,0.02
1,6.25,6.00,0.52,6.00,0.88,6.00,0.02
1,6.50,6.00,0.08,6.00,0.83,6.00,0.01
1,6.75,7.00,0.48,7.00,0.89,7.00,0.01
1,7.00,7.00,1.00,7.00,0.97,7.00,0.03
1,7.25,7.00,0.46,7.00,0.89,7.00,0.02
1,7.50,7.00,0.07,8.00,0.84,7.00,0.01
1,7.75,8.00,0.48,8.00,0.88,8.00,0.01
1,8.00,8.00,1.00,8.00,0.97,8.00,0.02
1,8.25,8.00,0.60,8.00,0.89,8.00,0.01
1,8.50,8.00,0.08,8.00,0.84,8.00,0.01
1,8.75,9.00,0.51,9.00,0.88,9.00,0.01
1,9.00,9.00,1.00,9.00,0.97,9.00,0.02
1,9.25,9.00,0.48,9.00,0.89,9.00,0.02
1,9.50,9.00,0.08,10.00,0.84,9.00,0.01
1,9.75,10.00,0.54,10.00,0.89,10.00,0.02
1,10.00,10.00,1.00,10.00,0.97,10.00,0.06
