index,angle,houghAngle,houghConfidence,projectionAngle,projectionConfidence,freqHoughAngle,freqHoughConfidence
1,-10.00,-10.00,1.00,-10.00,0.43,-10.00,1.00
1,-9.75,-10.00,1.00,-10.00,0.25,-10.00,0.03
1,-9.50,-10.00,0.46,-10.00,0.16,-9.00,0.02
1,-9.25,-9.00,1.00,-9.00,0.26,-9.00,0.04
1,-9.00,-9.00,1.00,-9.00,0.42,-9.00,0.50
1,-8.75,-9.00,1.00,-9.00,0.25,-9.00,0.03
1,-8.50,-8.00,0.45,-8.00,0.16,-8.00,0.02
1,-8.25,-8.00,1.00,-8.00,0.26,-8.00,0.03
1,-8.00,-8.00,1.00,-8.00,0.42,-8.00,0.15
1,-7.75,-8.00,1.00,-8.00,0.25,-8.00,0.02
1,-7.50,-7.00,0.46,-7.00,0.16,-7.00,0.02
1,-7.25,-7.00,1.00,-7.00,0.26,-7.00,0.08
1,-7.00,-7.00,1.00,-7.00,0.43,-7.00,0.75
1,-6.75,-7.00,1.00,-7.00,0.26,-7.00,0.02
1,-6.50,-6.00,0.46,-6.00,0.16,-7.00,0.01
1,-6.25,-6.00,1.00,-6.00,0.26,-6.00,0.06
1,-6.00,-6.00,1.00,-6.00,0.45,-6.00,0.04
1,-5.75,-6.00,1.00,-6.00,0.26,-6.00,0.03
1,-5.50,-5.00,0.46,-5.00,0.17,-5.00,0.02
1,-5.25,-5.00,1.00,-5.00,0.26,-5.00,0.06
1,-5.00,-5.00,1.00,-5.00,0.45,-5.00,1.00
1,-4.75,-5.00,1.00,-5.00,0.28,-5.00,0.04
1,-4.50,-4.00,0.39,-4.00,0.18,-4.00,0.02
1,-4.25,-4.00,1.00,-4.00,0.27,-4.00,0.03
1,-4.00,-4.00,1.00,-4.00,0.47,-4.00,0.50
1,-3.75,-4.00,1.00,-4.00,0.27,-4.00,0.02
1,-3.50,-3.00,0.45,-3.00,0.18,-4.00,0.01
1,-3.25,-3.00,1.00,-3.00,0.29,-3.00,0.03
1,-3.00,-3.00,1.00,-3.00,0.48,-3.00,1.00
1,-2.75,-3.00,1.00,-3.00,0.29,-3.00,0.04
1,-2.50,-3.00,0.49,-2.00,0.18,-3.00,0.01
1,-2.25,-2.00,1.00,-2.00,0.30,-2.00,0.04
1,-2.00,-2.00,1.00,-2.00,0.49,-2.00,0.12
1,-1.75,-2.00,1.00,-2.00,0.30,-2.00,0.02
1,-1.50,-2.00,0.40,-1.00,0.19,-1.00,0.02
1,-1.25,-1.00,1.00,-1.00,0.31,-1.00,0.09
1,-1.00,-1.00,1.00,-1.00,0.55,-1.00,0.12
1,-0.75,-1.00,1.00,-1.00,0.34,-1.00,0.03
1,-0.50,0.00,0.44,-1.00,0.22,2.00,0.02
1,-0.25,0.00,1.00,-0.00,0.44,0.00,0.04
1,0.00,0.00,1.00,-0.00,0.27,0.00,0.66
1,0.25,0.00,1.00,-0.00,0.44,0.00,0.03
1,0.50,1.00,0.40,1.00,0.22,1.00,0.02
1,0.75,1.00,1.00,1.00,0.34,1.00,0.03
1,1.00,1.00,1.00,1.00,0.55,1.00,0.09
1,1.25,1.00,1.00,1.00,0.32,1.00,0.05
1,1.50,2.00,0.42,1.00,0.19,1.00,0.01
1,1.75,2.00,1.00,2.00,0.31,2.00,0.03
1,2.00,2.00,1.00,2.00,0.50,2.00,0.14
1,2.25,2.00,1.00,2.00,0.30,2.00,0.04
1,2.50,3.00,0.42,3.00,0.18,2.00,0.01
1,2.75,3.00,1.00,3.00,0.31,3.00,0.03
1,3.00,3.00,1.00,3.00,0.48,3.00,1.00
1,3.25,3.00,1.00,3.00,0.30,3.00,0.02
1,3.50,3.00,0.44,3.00,0.18,3.00,0.01
1,3.75,4.00,1.00,4.00,0.28,4.00,0.04
1,4.00,4.00,1.00,4.00,0.49,4.00,0.67
1,4.25,4.00,1.00,4.00,0.28,4.00,0.03
1,4.50,4.00,0.43,5.00,0.18,4.00,0.02
1,4.75,5.00,1.00,5.00,0.29,5.00,0.03
1,5.00,5.00,1.00,5.00,0.45,5.00,1.00
1,5.25,5.00,1.00,5.00,0.27,5.00,0.05
1,5.50,5.00,0.48,5.00,0.18,5.00,0.01
1,5.75,6.00,1.00,6.00,0.28,6.00,0.03
1,6.00,6.00,1.00,6.00,0.46,6.00,0.07
1,6.25,6.00,1.00,6.00,0.27,6.00,0.07
1,6.50,6.00,0.43,6.00,0.17,6.00,0.02
1,6.75,7.00,1.00,7.00,0.28,7.00,0.02
1,7.00,7.00,1.00,7.00,0.45,7.00,1.00
1,7.25,7.00,1.00,7.00,0.27,7.00,0.06
1,7.50,7.00,0.45,8.00,0.17,7.00,0.01
1,7.75,8.00,1.00,8.00,0.27,8.00,0.02
1,8.00,8.00,1.00,8.00,0.44,8.00,0.27
1,8.25,8.00,1.00,8.00,0.28,8.00,0.03
1,8.50,8.00,0.46,8.00,0.18,8.00,0.01
1,8.75,9.00,1.00,9.00,0.27,9.00,0.02
1,9.00,9.00,1.00,9.00,0.44,9.00,0.30
1,9.25,9.00,1.00,9.00,0.28,9.00,0.04
1,9.50,9.00,0.46,10.00,0.18,9.00,0.02
1,9.75,10.00,1.00,10.00,0.27,10.00,0.03
1,10.00,10.00,1.00,10.00,0.45,10.00,1.00
2,-10.00,-10.00,1.00,-10.00,0.46,-10.00,0.22
2,-9.75,-10.00,1.00,-10.00,0.28,-10.00,0.03
2,-9.50,-10.00,0.50,-10.00,0.18,-9.00,0.01
2,-9.25,-9.00,1.00,-9.00,0.27,-9.00,0.05
2,-9.00,-9.00,1.00,-9.00,0.46,-9.00,0.05
2,-8.75,-9.00,1.00,-9.00,0.27,-9.00,0.02
2,-8.50,-9.00,0.48,-8.00,0.17,-8.00,0.02
2,-8.25,-8.00,1.00,-8.00,0.28,-8.00,0.01
2,-8.00,-8.00,1.00,-8.00,0.45,-8.00,0.11
2,-7.75,-8.00,0.94,-8.00,0.26,-8.00,0.02
2,-7.50,-7.00,0.51,-8.00,0.17,-7.00,0.02
2,-7.25,-7.00,1.00,-7.00,0.27,-7.00,0.03
