angle,houghAngle,projectionAngle,freqHoughAngle
-10,-10,-10,-10
-9,-9,-9,-9
-8,-8,-8,-8
-7,-7,-7,-7
-6,-6,-6,-6
-5,-5,-5,-5
-4,-4,-4,-4
-3,-3,-3,-3
-2,-2,-2,-2
-1,-0.999997,-1,-1
0,-2.50448e-06,-0,0
1,0.999999,1,1
2,2,2,2
3,3,3,3.00001
4,4,4,4
5,5,5,5.00001
6,6,6,6
7,7,7,7
8,8,8,8.00001
9,9,9,9
-10,-10,-10,-10
-9,-9,-9,-9
-8,-8,-8,-8
-7,-7,-7,-7
-6,-6,-6,-6
-5,-5,-5,-5
-4,-4,-4,-4
-3,-3,-3,-3
-2,-2,-2,-2
-1,-0.999997,-1,-1
0,-2.50448e-06,-0,0
1,0.999999,1,1
2,2,2,2
3,3,3,3.00001
4,4,4,4
5,5,5,5.00001
6,6,6,6
7,7,7,7
8,8,8,8.00001
9,9,9,9
-10,-10,-10,-10
-9,-9,-9,-9
-8,-8,-8,-8
-7,-7,-7,-7
-6,-6,-6,-6
-5,-5,-5,-5
-4,-4,-4,-4
-3,-3,-3,-3
-2,-2,-2,-2
-1,-0.999997,-1,-1
0,-2.50448e-06,-0,0
1,0.999999,1,1
2,2,2,2
3,3,3,3.00001
4,4,4,4
5,5,5,5.00001
6,6,6,6
7,7,7,7
8,8,8,8.00001
9,9,9,9
-10,-10,-10,80
-9,-9,-9,-9
-8,-8,-8,82
-7,-7,-7,83
-6,-6,-6,-6
-5,-5,-5,85
-4,-4,-4,-4
-3,-3,-3,-3
-2,-2,-2,88
-1,-0.999997,-1,-1
0,-2.50448e-06,-0,90
1,0.999999,1,1
2,2,2,2
3,3,3,3.00001
4,4,4,4
5,5,5,5.00001
6,6,6,-84
7,7,7,7
8,8,8,8.00001
9,9,9,9
-10,-10,-10,80
-9,-9,-9,81
-8,-8,-8,82
-7,-7,-7,83
-6,-6,-6,84
-5,-5,-5,85
-4,-4,-4,86
-3,-3,-3,87
-2,-2,-2,88
-1,-0.999997,-1,89
0,-2.50448e-06,-0,90
1,0.999999,1,-89
2,2,2,-88
3,3,3,-87
4,4,4,-86
5,5,5,-85
6,6,6,-84
7,7,7,-83
8,8,8,-82
9,9,9,-81
-10,-10,-10,-10
-9,-9,-9,81
-8,-8,-8,-8
-7,-7,-7,-7
-6,-6,-6,-6
-5,-5,-5,-5
-4,-4,-4,86
-3,-3,-3,87
-2,-2,-2,-2
-1,-0.999997,-1,-1
0,-2.50448e-06,-0,0
1,0.999999,1,1
2,2,2,-88
3,3,3,3.00001
4,4,4,4
5,5,5,5.00001
6,6,6,6
7,7,7,7
8,8,8,-82
9,9,9,-81
-10,-10,-10,-10
-9,-9,-9,-9
-8,-8,-8,-8
-7,-7,-7,-7
-6,-6,-6,-6
-5,-5,-5,-5
-4,-4,-4,-4
-3,-3,-3,-3
-2,-2,-2,-2
-1,-0.999997,-1,-1
0,-2.50448e-06,1,90
1,0.999999,1,1
2,2,2,2
3,3,3,3.00001
4,4,4,4
5,5,5,5.00001
6,6,6,6
7,7,7,7
8,8,8,8.00001
9,9,9,9
-10,-10,-10,-10
-9,-9,-9,-9
-8,-8,-8,-8
-7,-7,-7,-7
-6,-6,-6,-6
-5,-5,-5,-5
-4,-4,-4,-4
-3,-3,-3,-3
-2,-2,-2,-2
-1,-0.999997,-1,-1
0,-2.50448e-06,1,90
1,0.999999,1,1
2,2,2,2
3,3,3,3.00001
4,4,4,4
5,5,5,5.00001
6,6,6,6
7,7,7,7
8,8,8,8.00001
9,9,9,9
-10,-10,-10,-10
-9,-9,-9,-9
-8,-8,-8,-8
-7,-7,-7,-7
-6,-6,-6,-6
-5,-5,-5,-5
-4,-4,-4,-4
-3,-3,-3,-3
-2,-2,-2,-2
-1,-0.999997,-1,-1
0,-2.50448e-06,-0,0
1,0.999999,1,1
2,2,2,2
3,3,3,3.00001
4,4,4,4
5,5,5,5.00001
6,6,6,6
7,7,7,7
8,8,8,8.00001
9,9,9,9
-10,-10,-10,-10
-9,-9,-9,-9
-8,-8,-8,-8
-7,-7,-7,-7
-6,-6,-6,-6
-5,-5,-5,-5
-4,-4,-4,86
-3,-3,-3,-3
-2,-2,-2,-2
-1,-0.999997,-1,-1
0,-2.50448e-06,1,0
1,0.999999,-0,1
2,2,2,2
3,3,3,3.00001
4,4,4,4
5,5,5,5.00001
6,6,6,6
7,7,7,7
8,8,8,8.00001
9,9,9,9
