index,angle,houghAngle,projectionAngle,freqHoughAngle
1,-10.00,-10.00,-10.00,-10.00
1,-9.75,-10.00,-10.00,-10.00
1,-9.50,-10.00,-10.00,-9.00
1,-9.25,-9.00,-9.00,-9.00
1,-9.00,-9.00,-9.00,-9.00
1,-8.75,-9.00,-9.00,-9.00
1,-8.50,-8.00,-8.00,-8.00
1,-8.25,-8.00,-8.00,-8.00
1,-8.00,-8.00,-8.00,-8.00
1,-7.75,-8.00,-8.00,-8.00
1,-7.50,-7.00,-7.00,-7.00
1,-7.25,-7.00,-7.00,-7.00
1,-7.00,-7.00,-7.00,-7.00
1,-6.75,-7.00,-7.00,-7.00
1,-6.50,-6.00,-6.00,-7.00
1,-6.25,-6.00,-6.00,-6.00
1,-6.00,-6.00,-6.00,-6.00
1,-5.75,-6.00,-6.00,-6.00
1,-5.50,-5.00,-5.00,-5.00
1,-5.25,-5.00,-5.00,-5.00
1,-5.00,-5.00,-5.00,-5.00
1,-4.75,-5.00,-5.00,-5.00
1,-4.50,-4.00,-4.00,-4.00
1,-4.25,-4.00,-4.00,-4.00
1,-4.00,-4.00,-4.00,-4.00
1,-3.75,-4.00,-4.00,-4.00
1,-3.50,-3.00,-3.00,-4.00
1,-3.25,-3.00,-3.00,-3.00
1,-3.00,-3.00,-3.00,-3.00
1,-2.75,-3.00,-3.00,-3.00
1,-2.50,-3.00,-2.00,-3.00
1,-2.25,-2.00,-2.00,-2.00
1,-2.00,-2.00,-2.00,-2.00
1,-1.75,-2.00,-2.00,-2.00
1,-1.50,-2.00,-1.00,-1.00
1,-1.25,-1.00,-1.00,-1.00
1,-1.00,-1.00,-1.00,-1.00
1,-0.75,-1.00,-1.00,-1.00
1,-0.50,0.00,-1.00,2.00
1,-0.25,0.00,-0.00,0.00
1,0.00,0.00,-0.00,0.00
1,0.25,0.00,-0.00,0.00
1,0.50,1.00,1.00,1.00
1,0.75,1.00,1.00,1.00
1,1.00,1.00,1.00,1.00
1,1.25,1.00,1.00,1.00
1,1.50,2.00,1.00,1.00
1,1.75,2.00,2.00,2.00
1,2.00,2.00,2.00,2.00
1,2.25,2.00,2.00,2.00
1,2.50,3.00,3.00,2.00
1,2.75,3.00,3.00,3.00
1,3.00,3.00,3.00,3.00
1,3.25,3.00,3.00,3.00
1,3.50,3.00,3.00,3.00
1,3.75,4.00,4.00,4.00
1,4.00,4.00,4.00,4.00
1,4.25,4.00,4.00,4.00
1,4.50,4.00,5.00,4.00
1,4.75,5.00,5.00,5.00
1,5.00,5.00,5.00,5.00
1,5.25,5.00,5.00,5.00
